title_raw,year,journal_raw,doi_raw,pais,adsorbente,analitos,qmax_mg_g,remocion_pct,isoterma,cinetica,phpzc,bet_m2g,ph_operacional,dosis_g_l,tipo_matriz,ciclos_regen,etiqueta,score
Chemically modified biosorbents and their role in the removal of emerging pharmaceuticalwaste in the water system,2020,Water (Switzerland),10.3390/W12061551,nigeria,,,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,61
Adsorption of sulfamethazine drug onto the modified derivatives of carbon nanotubes at different pH,2020,Molecules,10.3390/molecules25112489,hungary,Nanocompuesto,,,,,,,,,,,,INCLUIDO_ALTA,24
Ciprofloxacin adsorption by biochar derived from co-pyrolysis of sewage sludge and bamboo waste,2020,Environmental Science and Pollution Research,10.1007/s11356-020-08333-y,china,Biochar,Ciprofloxacino,,,Langmuir + Freundlich,PSO,,,,,,,INCLUIDO_ALTA,94
"Sequestration of a non-steroidal anti-inflammatory drug from aquatic media by lignocellulosic material (Luffa cylindrica) reinforced with polypyrrole: Study of parameters, kinetics, and equilibrium",2020,Journal of Environmental Chemical Engineering,10.1016/j.jece.2020.103734,,,,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,53
Calcined Mytella falcata shells as alternative adsorbent for efficient removal of rifampicin antibiotic from aqueous solutions,2020,Journal of Environmental Chemical Engineering,10.1016/j.jece.2020.103782,brazil,,,,,,PFO,,,,,,5.0,INCLUIDO_ALTA,76
Construction of layered hollow Fe3O4/Fe1-xS @MoS2 composite with enhanced photo-Fenton and adsorption performance,2020,Journal of Environmental Chemical Engineering,10.1016/j.jece.2020.103762,china,,Tetraciclina,,,Freundlich,PSO,,,,0.2,,,INCLUIDO_ALTA,41
Removal of pharmaceutical compounds from aqueous solution by novel activated carbon synthesized from lovegrass (Poaceae),2020,Environmental Science and Pollution Research,10.1007/s11356-020-08617-3,brazil,Carbon activado,,,,,PSO,,,,,,,INCLUIDO_ALTA,66
"A review on the occurrence, fate and removal of steroidal hormones during treatment with different types of constructed wetlands",2020,Journal of Environmental Chemical Engineering,10.1016/j.jece.2020.103793,france,,Estradiol (E2); Estrona (E1); Etinilestradiol (EE2); Estriol (E3); Progesterona; Androgenos,,,,,,,,,,,INCLUIDO_ALTA,67
Alternative techniques for caffeine removal from wastewater: An overview of opportunities and challenges,2020,Journal of Water Process Engineering,10.1016/j.jwpe.2020.101231,brazil,,,,,,,,,,,,,INCLUIDO_ALTA,44
Hollow and porous octacalcium phosphate superstructures mediated by the polyelectrolyte PSS: a superior removal capacity for heavy metal and antibiotics,2020,Journal of Materials Science,10.1007/s10853-020-04539-0,china,,Tetraciclina,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,43
Ultra-High-Molecular-Weight polyethylene-based nanocomposite for removal of tetracycline in aqueous systems,2020,Journal of Environmental Chemical Engineering,10.1016/j.jece.2019.103630,brazil,Nanocompuesto,Tetraciclina,,,Freundlich,PSO,,,,,,,INCLUIDO_ALTA,69
Removal of antibiotic resistance genes in various water resources recovery facilities,2020,Water Environment Research,10.1002/wer.1286,,,Trimetoprima,,,,,,,,,,,INCLUIDO_ALTA,90
Performance of organoclay in adsorptive uptake of antihypertensive losartan potassium: A comparative batch study using micro-grain activated carbon,2020,Journal of Environmental Chemical Engineering,10.1016/j.jece.2019.103562,brazil,Carbon activado,,,,Langmuir + Freundlich,PFO + PSO,,,,6.0,,,INCLUIDO_ALTA,68
Design and Synthesis of a Biochar-Supported Nano Manganese Dioxide Composite for Antibiotics Removal From Aqueous Solution,2020,Frontiers in Environmental Science,10.3389/fenvs.2020.00062,china,Biochar,Tetraciclina; Doxiciclina,,,Freundlich,PFO + PSO,,,,,,,INCLUIDO_ALTA,100
Optimization Removal of the Ceftriaxone Drug from Aqueous Media with Novel Zero-Valent Iron Supported on Doped Strontium Hexaferrite Nanoparticles by Response Surface Methodology,2020,ChemistrySelect,10.1002/slct.202000285,,,,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,59
"Behavior of nitrogen, phosphorus and antibiotic resistance genes under polyvinyl chloride microplastics pressures in an aerobic granular sludge system",2020,Journal of Cleaner Production,10.1016/j.jclepro.2020.120402,china,,,,,,,,,,,,,INCLUIDO_ALTA,20
Magnetic nano-hybrids adsorbents formulated from acidic leachates of clay minerals,2020,Journal of Cleaner Production,10.1016/j.jclepro.2020.120383,china,Arcilla/Zeolita,Tetraciclina,,,,,,,,0.5,,,INCLUIDO_ALTA,73
Preparation and utilization of cigarette filters based activated carbon for removal CIP and SDS from aqueous solutions,2020,Chemical Physics Letters,10.1016/j.cplett.2020.137343,china,Carbon activado,Ciprofloxacino,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,62
